Camera1_START->CollisionAlert_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionAlert_START->CollisionAlert_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,CollisionAlert_START
0.480950,0.005788,0.093742,0.008503,0.079886,0.032106,0.000000,0.040704,0.000000,0.008430,0.175901,0.029438,0.000000,0.004001,0.000000,0.002451,0,1,2,2,2,2,2
0.485266,0.005468,0.099512,0.012553,0.077210,0.024644,0.000000,0.052696,0.007270,0.009274,0.147668,0.031804,0.010372,0.003658,0.000000,0.003137,0,1,2,2,2,2,2
0.431815,0.005502,0.104706,0.009885,0.046462,0.026474,0.000000,0.038281,0.006026,0.010372,0.147808,0.032033,0.000000,0.002359,0.000000,0.001907,0,1,1,2,2,2,2
0.461788,0.004280,0.082325,0.013122,0.097448,0.018989,0.000000,0.047038,0.002284,0.009409,0.152550,0.027679,0.000000,0.006415,0.000000,0.000249,1,2,2,2,2,2,2
0.457388,0.003948,0.103437,0.006814,0.090157,0.018592,0.000000,0.053077,0.000000,0.008983,0.140574,0.025581,0.000000,0.004480,0.000000,0.001745,0,1,2,2,2,2,2
0.440784,0.003743,0.074137,0.008937,0.091391,0.025867,0.000000,0.044337,0.000000,0.010036,0.152671,0.023108,0.000000,0.005510,0.000000,0.001047,0,1,1,2,1,2,2
0.475259,0.004744,0.119428,0.006192,0.066375,0.020042,0.000000,0.053583,0.005103,0.009700,0.158727,0.028226,0.000000,0.002250,0.000000,0.000889,1,2,2,2,2,2,2
0.478167,0.004613,0.081560,0.006025,0.089134,0.021994,0.011896,0.044822,0.000000,0.009932,0.156311,0.034523,0.009897,0.004650,0.000000,0.002810,0,1,1,2,2,2,2
0.443507,0.005625,0.079816,0.013023,0.074052,0.025625,0.000000,0.031803,0.033263,0.009897,0.132669,0.032171,0.000000,0.003750,0.000000,0.001813,0,1,2,2,2,2,2
0.451681,0.006054,0.080041,0.008954,0.084371,0.022024,0.015311,0.045729,0.000000,0.010853,0.141518,0.027560,0.000000,0.006857,0.000000,0.002409,0,1,1,2,2,2,2
0.456943,0.005462,0.078249,0.009187,0.087496,0.027804,0.000000,0.060955,0.000000,0.010602,0.144663,0.028077,0.000000,0.001509,0.000000,0.002939,0,1,2,2,2,2,2
0.449700,0.004300,0.071565,0.009061,0.094298,0.025151,0.000000,0.047153,0.002978,0.008985,0.142592,0.037777,0.000000,0.003417,0.000000,0.002423,0,1,2,2,2,2,2
0.465958,0.004018,0.083302,0.014785,0.085535,0.028347,0.000000,0.067307,0.000000,0.010595,0.140679,0.026437,0.000000,0.002670,0.000000,0.002283,0,1,2,2,2,2,2
0.368754,0.002378,0.085358,0.007097,0.098511,0.025112,0.000000,0.053652,0.000000,0.009633,0.039748,0.036945,0.000000,0.008675,0.000000,0.001645,0,1,2,2,1,1,1
0.345114,0.002881,0.092459,0.007755,0.076979,0.025597,0.000000,0.034955,0.000000,0.009816,0.068059,0.022989,0.000000,0.002366,0.000000,0.001258,0,1,2,2,1,1,1
0.456470,0.004955,0.084681,0.011796,0.084124,0.022309,0.007913,0.056902,0.000000,0.009138,0.136036,0.030559,0.000000,0.005909,0.000000,0.002148,0,1,2,2,2,2,2
0.501392,0.001326,0.086407,0.006783,0.091205,0.025507,0.008575,0.046494,0.000000,0.011255,0.166586,0.038970,0.011165,0.003923,0.000000,0.003196,0,1,2,2,2,2,2
0.480526,0.005238,0.086493,0.009417,0.093802,0.020633,0.000000,0.045923,0.024524,0.011165,0.139449,0.025511,0.009933,0.006636,0.000000,0.001802,0,1,2,2,2,2,2
0.484184,0.005879,0.154113,0.009628,0.020817,0.024280,0.000000,0.044996,0.004325,0.009933,0.171857,0.027755,0.000000,0.008671,0.000000,0.001930,0,1,2,2,2,2,2
0.476322,0.003196,0.090284,0.013561,0.106407,0.019328,0.000000,0.051579,0.000114,0.010679,0.145776,0.032010,0.000000,0.002985,0.000000,0.000403,0,1,2,2,2,2,2
0.475153,0.006462,0.064607,0.006046,0.093503,0.029012,0.000000,0.039363,0.006869,0.010478,0.165595,0.034240,0.009617,0.006298,0.000000,0.003063,0,1,2,2,2,2,2
0.440154,0.007808,0.063425,0.015611,0.076116,0.025439,0.000000,0.043873,0.027421,0.009617,0.134188,0.030245,0.000000,0.003631,0.000000,0.002780,0,1,2,2,2,2,2
0.444185,0.001031,0.069230,0.009322,0.084449,0.032909,0.000000,0.063636,0.000000,0.009804,0.142629,0.027120,0.000000,0.002256,0.000000,0.001799,0,1,1,2,2,2,2
0.433490,0.006216,0.080930,0.006550,0.086261,0.025257,0.000000,0.056732,0.000000,0.008805,0.126155,0.028594,0.000000,0.006264,0.000000,0.001726,0,1,2,2,2,2,2
0.453718,0.004537,0.087010,0.011460,0.070758,0.026157,0.000000,0.044569,0.000000,0.010257,0.158788,0.031925,0.000000,0.005665,0.000000,0.002592,0,1,2,2,2,2,2
0.507686,0.004937,0.108745,0.012978,0.080471,0.022755,0.004501,0.046387,0.005109,0.010312,0.176250,0.030746,0.000000,0.003912,0.000000,0.000583,0,2,2,2,2,2,2
0.354255,0.005366,0.087535,0.007140,0.077629,0.019805,0.000000,0.059053,0.000000,0.009307,0.048965,0.034434,0.000000,0.004933,0.000000,0.000088,0,1,1,2,1,1,1
0.446000,0.004349,0.073240,0.011691,0.092130,0.026972,0.000000,0.058127,0.000000,0.011482,0.136743,0.023668,0.000000,0.006004,0.000000,0.001594,0,1,1,2,2,2,2
0.463502,0.004358,0.080678,0.009936,0.085058,0.026808,0.008919,0.049170,0.000000,0.009859,0.142748,0.037741,0.000000,0.007681,0.000000,0.000546,1,1,2,2,2,2,2
0.475242,0.004683,0.084503,0.012464,0.079506,0.021377,0.000000,0.057372,0.005164,0.010680,0.159240,0.032004,0.000000,0.007402,0.000000,0.000847,0,1,2,2,2,2,2
0.482971,0.005982,0.083658,0.006295,0.092284,0.020893,0.000000,0.042214,0.025581,0.010798,0.153776,0.034875,0.000000,0.004065,0.000000,0.002550,1,1,2,2,2,2,2
0.359033,0.004569,0.099186,0.011716,0.073054,0.033278,0.000000,0.049873,0.000000,0.010255,0.033921,0.035440,0.000000,0.005667,0.000000,0.002074,0,1,2,2,1,1,1
0.449919,0.005603,0.078973,0.010068,0.103359,0.026176,0.000000,0.045895,0.000000,0.011134,0.137812,0.025796,0.000000,0.002205,0.000000,0.002898,1,1,2,2,2,2,2
0.478903,0.004126,0.100160,0.015147,0.072117,0.023757,0.000000,0.058487,0.000000,0.009444,0.156877,0.031834,0.000000,0.005716,0.000000,0.001238,1,2,2,2,2,2,2
0.481081,0.007722,0.082617,0.008822,0.097677,0.023284,0.000000,0.047927,0.010319,0.009889,0.149182,0.033700,0.000000,0.007554,0.000000,0.002388,1,1,2,2,2,2,2
0.485806,0.003239,0.103048,0.005038,0.093026,0.027410,0.000000,0.049090,0.000767,0.010382,0.151619,0.033776,0.000000,0.005718,0.000000,0.002693,1,1,2,2,2,2,2
0.492459,0.003294,0.101277,0.011188,0.085824,0.025736,0.016823,0.049544,0.000000,0.010069,0.149720,0.027183,0.000000,0.008671,0.000000,0.003130,0,2,2,2,2,2,2
0.468294,0.003819,0.075828,0.011657,0.075235,0.023723,0.004413,0.046707,0.017924,0.011058,0.153216,0.038628,0.000000,0.005459,0.000000,0.000627,0,1,2,2,2,2,2
0.351577,0.004357,0.069298,0.010972,0.084952,0.023319,0.000000,0.041331,0.000000,0.010606,0.067930,0.030150,0.000000,0.005756,0.000000,0.002906,0,1,2,2,1,1,1
0.475656,0.006950,0.101596,0.008731,0.102536,0.032955,0.000000,0.056098,0.000000,0.010692,0.117390,0.031482,0.000000,0.005352,0.000000,0.001874,1,2,2,2,2,2,2
