Perception_CameraPerception_SPAWN->Perception_CameraPerception_START,Perception_CameraPerception_SPAWN->Perception_CameraPerception_START
0.029317,0.029317
0.017945,0.017945
0.010789,0.010789
0.025880,0.025880
0.000660,0.000660
0.008862,0.008862
0.025891,0.025891
0.008151,0.008151
0.029748,0.029748
0.000000,0.000000
0.029005,0.029005
0.018433,0.018433
0.000000,0.000000
0.017489,0.017489
0.007767,0.007767
0.030288,0.030288
0.010577,0.010577
0.008923,0.008923
0.038456,0.038456
0.000000,0.000000
0.012973,0.012973
0.000000,0.000000
0.027054,0.027054
0.013593,0.013593
0.015526,0.015526
0.017315,0.017315
0.028253,0.028253
0.015795,0.015795
0.025970,0.025970
0.019603,0.019603
0.006441,0.006441
0.000000,0.000000
0.022069,0.022069
0.045343,0.045343
0.007680,0.007680
0.012069,0.012069
0.010008,0.010008
0.031594,0.031594
0.025224,0.025224
0.000000,0.000000
0.005026,0.005026
0.000000,0.000000
0.017608,0.017608
0.034883,0.034883
0.024121,0.024121
0.000165,0.000165
0.030319,0.030319
0.034673,0.034673
0.003843,0.003843
0.011196,0.011196
0.001328,0.001328
0.007940,0.007940
0.013543,0.013543
0.034386,0.034386
0.008005,0.008005
0.030284,0.030284
0.000640,0.000640
0.026294,0.026294
0.000000,0.000000
0.018572,0.018572
0.030013,0.030013
0.020845,0.020845
0.018049,0.018049
0.016553,0.016553
