bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.419000,0.011788,0.000301,0.002214,0.000136,0.000000,0.000130,0.000017,0.000816,0.001258,0.000271,0.000004,0.000702,0.000177,0.001428,0.004051,0.000282
0.420000,0.004584,0.000115,0.000917,0.000034,0.000000,0.000067,0.000000,0.000325,0.000483,0.000121,0.000000,0.000260,0.000058,0.000557,0.001539,0.000107
0.421000,0.011133,0.000269,0.002037,0.000146,0.000000,0.000156,0.000090,0.000743,0.001007,0.000271,0.000000,0.000683,0.000332,0.001228,0.003911,0.000260
0.422000,0.007204,0.000165,0.001362,0.000080,0.000000,0.000088,0.000016,0.000502,0.000910,0.000176,0.000000,0.000406,0.000085,0.000846,0.002401,0.000166
0.423000,0.012443,0.000299,0.002229,0.000159,0.000000,0.000151,0.000015,0.000813,0.001723,0.000316,0.000009,0.000749,0.000132,0.001493,0.004059,0.000295
0.424000,0.006549,0.000164,0.001059,0.000069,0.000000,0.000065,0.000050,0.000453,0.000987,0.000160,0.000022,0.000380,0.000077,0.000768,0.002147,0.000148
0.425000,0.015062,0.000364,0.002796,0.000176,0.000000,0.000163,0.000076,0.000982,0.001501,0.000351,0.000013,0.000856,0.000378,0.001771,0.005281,0.000356
0.426000,0.010478,0.000223,0.001753,0.000115,0.000000,0.000127,0.000032,0.000729,0.001545,0.000260,0.000000,0.000634,0.000112,0.001253,0.003453,0.000242
0.427000,0.005894,0.000118,0.001034,0.000065,0.000000,0.000061,0.000000,0.000386,0.000960,0.000156,0.000000,0.000323,0.000005,0.000645,0.001992,0.000148
0.428000,0.012443,0.000277,0.002412,0.000146,0.000000,0.000139,0.000062,0.000837,0.001776,0.000305,0.000001,0.000726,0.000122,0.001462,0.003878,0.000300
0.429000,0.008513,0.000188,0.001624,0.000105,0.000000,0.000104,0.000000,0.000580,0.001091,0.000211,0.000000,0.000534,0.000024,0.000996,0.002857,0.000198
0.430000,0.015717,0.000355,0.002903,0.000163,0.000000,0.000186,0.000050,0.001100,0.001991,0.000358,0.000000,0.000949,0.000246,0.001856,0.005179,0.000381
0.431000,0.011788,0.000287,0.002225,0.000141,0.000000,0.000140,0.000046,0.000825,0.001497,0.000277,0.000000,0.000692,0.000096,0.001354,0.003928,0.000281
0.432000,0.016372,0.000399,0.003053,0.000189,0.000000,0.000185,0.000074,0.001160,0.001919,0.000359,0.000000,0.000886,0.000280,0.002041,0.005447,0.000381
0.433000,0.007859,0.000187,0.001370,0.000097,0.000000,0.000081,0.000015,0.000522,0.001064,0.000176,0.000000,0.000471,0.000115,0.000919,0.002663,0.000179
0.434000,0.011788,0.000280,0.002071,0.000142,0.000000,0.000120,0.000042,0.000829,0.001567,0.000297,0.000000,0.000688,0.000122,0.001351,0.004003,0.000276
0.435000,0.013098,0.000292,0.002454,0.000123,0.000000,0.000155,0.000041,0.000932,0.001848,0.000309,0.000021,0.000714,0.000186,0.001577,0.004142,0.000304
