Perception_RadarPerception_SPAWN->Perception_RadarPerception_START,Perception_RadarPerception_SPAWN->Perception_RadarPerception_START
0.029422,0.029422
0.012638,0.012638
0.021469,0.021469
0.021083,0.021083
0.007157,0.007157
0.028367,0.028367
0.014441,0.014441
0.009740,0.009740
0.018086,0.018086
0.034797,0.034797
0.026998,0.026998
0.018862,0.018862
0.018895,0.018895
0.022028,0.022028
0.024786,0.024786
0.038747,0.038747
0.027302,0.027302
0.047832,0.047832
0.000000,0.000000
0.016964,0.016964
0.000000,0.000000
0.027375,0.027375
0.014168,0.014168
0.015111,0.015111
0.025599,0.025599
0.003339,0.003339
0.018013,0.018013
0.034943,0.034943
0.029994,0.029994
0.010828,0.010828
0.029479,0.029479
0.009933,0.009933
0.016798,0.016798
0.017679,0.017679
0.047612,0.047612
0.022172,0.022172
0.006093,0.006093
0.027840,0.027840
0.013466,0.013466
0.016937,0.016937
0.018251,0.018251
0.012875,0.012875
0.006389,0.006389
0.018556,0.018556
0.014526,0.014526
0.021635,0.021635
0.026620,0.026620
0.029668,0.029668
0.005382,0.005382
0.020344,0.020344
0.027963,0.027963
0.022092,0.022092
0.030068,0.030068
0.030786,0.030786
0.030512,0.030512
0.019535,0.019535
0.016371,0.016371
0.023167,0.023167
0.023580,0.023580
0.026731,0.026731
0.015608,0.015608
0.014304,0.014304
0.021142,0.021142
0.005700,0.005700
0.014399,0.014399
0.007970,0.007970
0.035679,0.035679
0.017169,0.017169
0.024627,0.024627
0.003915,0.003915
0.017363,0.017363
