SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.000000,0.000000
0.010422,0.010422
0.024747,0.024747
0.071104,0.071104
0.000000,0.000000
0.000000,0.000000
0.021633,0.021633
0.000000,0.000000
0.000000,0.000000
0.005115,0.005115
0.000000,0.000000
0.020245,0.020245
0.017716,0.017716
0.011357,0.011357
0.000000,0.000000
0.011397,0.011397
0.000000,0.000000
0.000000,0.000000
0.020637,0.020637
0.011566,0.011566
0.065113,0.065113
0.040072,0.040072
0.000000,0.000000
0.000000,0.000000
0.022845,0.022845
0.008093,0.008093
0.024758,0.024758
0.018427,0.018427
0.053644,0.053644
0.005255,0.005255
0.003827,0.003827
0.012840,0.012840
0.010444,0.010444
0.000000,0.000000
0.019639,0.019639
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.008386,0.008386
0.000000,0.000000
0.010208,0.010208
0.016271,0.016271
0.000000,0.000000
0.051345,0.051345
0.000000,0.000000
0.012327,0.012327
0.000000,0.000000
0.076912,0.076912
0.022026,0.022026
0.000000,0.000000
0.000000,0.000000
0.094134,0.094134
0.000000,0.000000
0.003717,0.003717
0.001794,0.001794
0.019258,0.019258
0.015630,0.015630
0.022712,0.022712
0.005118,0.005118
0.056273,0.056273
0.010245,0.010245
0.000000,0.000000
0.014742,0.014742
0.010716,0.010716
0.000000,0.000000
0.067202,0.067202
0.000000,0.000000
0.018965,0.018965
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019076,0.019076
0.000000,0.000000
0.004785,0.004785
0.013440,0.013440
0.022837,0.022837
0.000000,0.000000
0.019054,0.019054
0.000000,0.000000
0.000000,0.000000
0.001019,0.001019
0.001818,0.001818
0.053173,0.053173
0.072199,0.072199
0.000000,0.000000
0.055643,0.055643
0.010336,0.010336
0.004151,0.004151
0.000000,0.000000
0.003908,0.003908
0.054251,0.054251
0.014773,0.014773
0.000000,0.000000
0.062197,0.062197
0.007979,0.007979
0.000000,0.000000
0.000000,0.000000
0.033082,0.033082
0.000000,0.000000
0.000000,0.000000
0.016429,0.016429
0.063125,0.063125
