Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.022478,0.022478
0.019057,0.019057
0.023824,0.023824
0.001178,0.001178
0.023593,0.023593
0.042022,0.042022
0.000000,0.000000
0.001777,0.001777
0.043669,0.043669
0.050536,0.050536
0.017500,0.017500
0.001852,0.001852
0.022768,0.022768
0.007260,0.007260
0.028742,0.028742
0.044180,0.044180
0.000000,0.000000
0.027831,0.027831
0.031965,0.031965
0.018285,0.018285
0.042063,0.042063
0.039560,0.039560
0.025421,0.025421
0.041029,0.041029
0.037886,0.037886
0.015709,0.015709
0.000000,0.000000
0.018093,0.018093
0.060111,0.060111
0.033634,0.033634
0.021611,0.021611
0.049701,0.049701
