SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START,SemanticExtraction_SignInterpretation_SPAWN->SemanticExtraction_SignInterpretation_START
0.006016,0.006016
0.068687,0.068687
0.004824,0.004824
0.015586,0.015586
0.000000,0.000000
0.054055,0.054055
0.000000,0.000000
0.089152,0.089152
0.064530,0.064530
0.000000,0.000000
0.000322,0.000322
0.000000,0.000000
0.036060,0.036060
0.055857,0.055857
0.057427,0.057427
0.008649,0.008649
0.000000,0.000000
0.062459,0.062459
0.010101,0.010101
0.000000,0.000000
0.016542,0.016542
0.000000,0.000000
0.008897,0.008897
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.039710,0.039710
0.000000,0.000000
0.000000,0.000000
0.030880,0.030880
0.033412,0.033412
0.016321,0.016321
0.000000,0.000000
0.016905,0.016905
0.015940,0.015940
0.058819,0.058819
0.003987,0.003987
0.000000,0.000000
0.012377,0.012377
0.072562,0.072562
0.000000,0.000000
0.000000,0.000000
0.055281,0.055281
0.071411,0.071411
0.004327,0.004327
0.085242,0.085242
0.000000,0.000000
0.069127,0.069127
0.001595,0.001595
0.017106,0.017106
0.022123,0.022123
0.007804,0.007804
0.005549,0.005549
0.006722,0.006722
0.002404,0.002404
0.046864,0.046864
0.000000,0.000000
0.000271,0.000271
0.068858,0.068858
0.000000,0.000000
0.000000,0.000000
0.049143,0.049143
0.040456,0.040456
0.012733,0.012733
0.040770,0.040770
0.085706,0.085706
0.072576,0.072576
0.079628,0.079628
0.004105,0.004105
0.009953,0.009953
0.042062,0.042062
0.087809,0.087809
0.018783,0.018783
0.076166,0.076166
0.031621,0.031621
0.000000,0.000000
0.060253,0.060253
0.004836,0.004836
0.000000,0.000000
0.000000,0.000000
0.060695,0.060695
0.015230,0.015230
0.000000,0.000000
0.009407,0.009407
0.061819,0.061819
0.000059,0.000059
0.087593,0.087593
0.053987,0.053987
0.046093,0.046093
0.055151,0.055151
0.064076,0.064076
0.000000,0.000000
0.000000,0.000000
0.014826,0.014826
0.052438,0.052438
0.017114,0.017114
0.028297,0.028297
0.070486,0.070486
0.024494,0.024494
0.000050,0.000050
0.038406,0.038406
0.039931,0.039931
0.034836,0.034836
0.071021,0.071021
0.015727,0.015727
0.004223,0.004223
0.063469,0.063469
0.023772,0.023772
0.067232,0.067232
0.001508,0.001508
0.054958,0.054958
0.040320,0.040320
0.013529,0.013529
0.029629,0.029629
0.064834,0.064834
0.065299,0.065299
0.068554,0.068554
0.066867,0.066867
0.025583,0.025583
0.052289,0.052289
0.000000,0.000000
0.051851,0.051851
0.032681,0.032681
0.015750,0.015750
0.000000,0.000000
0.072126,0.072126
0.055931,0.055931
0.009124,0.009124
0.000000,0.000000
0.022088,0.022088
0.052944,0.052944
0.000000,0.000000
0.000447,0.000447
0.048544,0.048544
0.014692,0.014692
0.042064,0.042064
0.081259,0.081259
0.026573,0.026573
0.000000,0.000000
0.006655,0.006655
0.000000,0.000000
0.057936,0.057936
0.016145,0.016145
0.000000,0.000000
0.087582,0.087582
0.019930,0.019930
0.008790,0.008790
0.000000,0.000000
0.045964,0.045964
0.000671,0.000671
0.000000,0.000000
0.007054,0.007054
0.016625,0.016625
0.061603,0.061603
0.000000,0.000000
0.023243,0.023243
0.000000,0.000000
0.031376,0.031376
0.064333,0.064333
0.045269,0.045269
0.017671,0.017671
0.046303,0.046303
0.000000,0.000000
0.066673,0.066673
0.013803,0.013803
0.000000,0.000000
0.000000,0.000000
0.054542,0.054542
0.000000,0.000000
0.000000,0.000000
0.041377,0.041377
0.001305,0.001305
0.000000,0.000000
0.000000,0.000000
0.044108,0.044108
0.023933,0.023933
0.019332,0.019332
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000421,0.000421
0.002543,0.002543
0.010116,0.010116
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.010250,0.010250
0.069265,0.069265
0.021044,0.021044
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.021440,0.021440
0.016785,0.016785
0.000000,0.000000
0.026965,0.026965
0.027965,0.027965
0.000000,0.000000
0.009524,0.009524
0.025373,0.025373
0.006429,0.006429
0.011264,0.011264
0.014426,0.014426
0.066759,0.066759
0.000000,0.000000
0.020588,0.020588
0.018246,0.018246
0.008092,0.008092
0.014019,0.014019
0.001580,0.001580
0.000000,0.000000
0.017787,0.017787
0.000000,0.000000
0.004249,0.004249
0.003135,0.003135
0.046708,0.046708
0.000000,0.000000
0.000000,0.000000
0.020556,0.020556
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000628,0.000628
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.019721,0.019721
0.000000,0.000000
0.000000,0.000000
0.023129,0.023129
0.000000,0.000000
0.006970,0.006970
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003697,0.003697
0.006336,0.006336
0.005090,0.005090
0.014132,0.014132
0.000000,0.000000
0.030520,0.030520
0.061910,0.061910
0.024567,0.024567
0.000000,0.000000
0.023137,0.023137
0.055087,0.055087
0.000000,0.000000
0.023727,0.023727
0.016369,0.016369
0.076980,0.076980
0.012560,0.012560
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001606,0.001606
0.000000,0.000000
0.007244,0.007244
0.011037,0.011037
0.005945,0.005945
0.000000,0.000000
0.032555,0.032555
0.058168,0.058168
0.008594,0.008594
0.021067,0.021067
0.065479,0.065479
0.012956,0.012956
0.000000,0.000000
0.038725,0.038725
0.000402,0.000402
0.161751,0.161751
0.001203,0.001203
0.054690,0.054690
0.011242,0.011242
0.000000,0.000000
0.000000,0.000000
0.008959,0.008959
0.005330,0.005330
0.032674,0.032674
0.008222,0.008222
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.040526,0.040526
0.047168,0.047168
0.000000,0.000000
0.000000,0.000000
0.076698,0.076698
0.063518,0.063518
0.000000,0.000000
0.060860,0.060860
0.022719,0.022719
0.000000,0.000000
0.000000,0.000000
0.014149,0.014149
0.000000,0.000000
0.003052,0.003052
0.072924,0.072924
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.013608,0.013608
0.050010,0.050010
0.019939,0.019939
0.001726,0.001726
0.042922,0.042922
0.000000,0.000000
0.060561,0.060561
0.000000,0.000000
0.001458,0.001458
0.049036,0.049036
0.015855,0.015855
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.003811,0.003811
0.011398,0.011398
0.072704,0.072704
0.030932,0.030932
0.002040,0.002040
0.007812,0.007812
0.060654,0.060654
0.000000,0.000000
0.077947,0.077947
0.000000,0.000000
0.003012,0.003012
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.070821,0.070821
0.003878,0.003878
0.012292,0.012292
