Camera1_START->Braking_FINISH,Camera1_START->Camera1_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_Fusion_START->Perception_Fusion_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,Braking_START->Braking_FINISH,Perception_CameraPerception_START,Perception_Fusion_START,SemanticExtraction_ObjectDetection_START,SemanticExtraction_Prediction_START,CollisionDetection_TimeToCollision_START,CollisionDetection_BrakingDecision_START,Braking_START
0.336335,0.004618,0.069353,0.007852,0.009606,0.024567,0.000000,0.053060,0.000000,0.010899,0.101705,0.028983,0.009941,0.006537,0.000000,0.009214,0,1,1,1,1,1,1
0.463838,0.006079,0.108272,0.010920,0.011756,0.019144,0.000000,0.062427,0.023461,0.009941,0.150290,0.033064,0.009851,0.006872,0.000000,0.011761,1,1,1,1,2,2,2
0.436346,0.006542,0.061067,0.014697,0.018738,0.028994,0.000000,0.061911,0.014043,0.009851,0.174880,0.029789,0.000000,0.006196,0.000000,0.009638,0,1,1,2,1,2,2
0.359995,0.007091,0.109534,0.005078,0.009249,0.021367,0.000000,0.032154,0.000000,0.009515,0.120456,0.030865,0.000000,0.007556,0.000000,0.007130,1,1,1,1,1,1,1
0.425725,0.005411,0.074995,0.011265,0.021689,0.021094,0.000000,0.052181,0.035403,0.009114,0.151864,0.028663,0.000000,0.005070,0.000000,0.008976,0,1,1,1,1,2,2
0.338621,0.003626,0.092816,0.011386,0.015353,0.024637,0.000000,0.054530,0.000000,0.011785,0.065384,0.034271,0.009636,0.003564,0.000000,0.011633,0,1,1,1,1,1,1
0.410705,0.006386,0.079060,0.006069,0.023697,0.031884,0.000000,0.053353,0.016212,0.009636,0.141896,0.028997,0.000000,0.003807,0.000000,0.009708,0,1,1,1,1,2,2
0.447884,0.006545,0.071600,0.005500,0.027937,0.024585,0.000000,0.033281,0.032641,0.011123,0.179105,0.035072,0.000000,0.006973,0.000000,0.013522,0,1,1,2,1,2,2
0.293434,0.007830,0.038086,0.007589,0.020830,0.027954,0.000000,0.041810,0.000000,0.010464,0.091521,0.034041,0.000000,0.005410,0.000000,0.007899,0,0,1,1,1,1,1
0.438893,0.003207,0.092445,0.011333,0.114124,0.017189,0.000000,0.057022,0.000000,0.010822,0.089904,0.029479,0.000000,0.001772,0.000000,0.011596,0,2,2,2,1,2,2
