start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
0.142155,0.015149,0.029846,0.026229,0.035164,0.035767,2
0.128044,0.014505,0.015616,0.023357,0.037740,0.036826,2
0.129350,0.012077,0.003901,0.024838,0.048978,0.039556,1
0.143657,0.012353,0.026684,0.024149,0.042965,0.037506,1
0.130019,0.015183,0.030028,0.023657,0.026466,0.034685,2
0.131357,0.018802,0.022803,0.024655,0.029504,0.035593,1
0.117803,0.019375,0.025673,0.023840,0.009854,0.039061,1
0.112758,0.016783,0.020611,0.021916,0.015263,0.038185,1
0.135702,0.017724,0.031872,0.021123,0.034553,0.030430,2
0.118840,0.017760,0.008401,0.029554,0.028963,0.034162,1
0.157884,0.012765,0.020271,0.026445,0.058717,0.039686,2
0.085720,0.018567,0.000987,0.023056,0.006285,0.036825,1
0.135721,0.010961,0.044259,0.023921,0.020399,0.036181,2
0.117649,0.015200,0.004338,0.024809,0.037340,0.035962,1
0.142740,0.015290,0.002031,0.021513,0.067300,0.036606,1
0.104345,0.010328,0.017931,0.025814,0.015564,0.034708,1
0.132606,0.016085,0.018643,0.022537,0.038955,0.036386,1
0.089454,0.015561,0.005975,0.025985,0.003653,0.038280,1
0.108870,0.014239,0.005622,0.027092,0.023015,0.038902,1
0.130238,0.011962,0.033326,0.023110,0.022445,0.039395,2
0.092736,0.014343,0.001896,0.029578,0.007324,0.039595,0
0.134147,0.012219,0.006655,0.023258,0.059112,0.032903,2
0.127601,0.018910,0.036533,0.021542,0.016864,0.033752,2
0.181091,0.014249,0.041993,0.025575,0.063964,0.035310,2
0.089330,0.016934,0.003522,0.029775,0.008115,0.030984,1
0.109155,0.016162,0.017452,0.020652,0.018688,0.036201,0
0.080722,0.012962,0.003207,0.024327,0.000327,0.039899,1
0.078112,0.012225,0.001452,0.028813,0.001086,0.034536,0
0.085860,0.017335,0.001289,0.026774,0.003815,0.036647,1
0.139392,0.014475,0.013654,0.029099,0.043918,0.038246,1
0.121662,0.017421,0.032265,0.026801,0.009729,0.035446,1
0.144617,0.015445,0.025300,0.025383,0.043264,0.035225,2
0.129698,0.013912,0.012217,0.027031,0.039676,0.036862,1
0.132151,0.015649,0.015005,0.028618,0.040357,0.032522,2
0.135500,0.016141,0.033450,0.028109,0.023157,0.034643,2
0.152965,0.016174,0.036154,0.020580,0.048905,0.031152,1
0.086615,0.013686,0.005446,0.023159,0.009545,0.034779,1
0.137109,0.011782,0.039629,0.029879,0.024975,0.030844,2
0.090745,0.012083,0.000773,0.026906,0.011841,0.039142,1
0.137508,0.013307,0.037093,0.025398,0.024569,0.037141,1
0.137961,0.010187,0.058686,0.021708,0.011132,0.036248,1
0.146487,0.010755,0.032700,0.020053,0.049264,0.033715,2
0.146111,0.017785,0.025768,0.026579,0.040555,0.035424,2
0.152765,0.016853,0.020437,0.023901,0.053712,0.037862,2
0.084703,0.011405,0.011765,0.023986,0.006831,0.030716,1
0.089117,0.011415,0.003121,0.026016,0.017680,0.030885,1
0.139740,0.013572,0.044914,0.025224,0.019312,0.036718,2
0.131361,0.015392,0.003163,0.029757,0.049871,0.033178,1
0.119878,0.014481,0.015480,0.024889,0.031534,0.033494,1
0.127665,0.012570,0.014130,0.024838,0.044128,0.031999,1
0.133208,0.014639,0.035138,0.029117,0.018503,0.035811,1
0.159899,0.019498,0.017029,0.022777,0.061698,0.038897,2
0.083956,0.013109,0.001417,0.028453,0.010423,0.030554,1
0.128113,0.016601,0.002126,0.024037,0.047637,0.037712,1
0.139831,0.015447,0.048761,0.028914,0.006818,0.039891,2
0.138234,0.018855,0.013342,0.021353,0.046277,0.038407,2
0.153319,0.016894,0.045181,0.024942,0.029480,0.036822,2
0.129603,0.014956,0.024606,0.020279,0.031924,0.037838,1
0.101183,0.013149,0.014821,0.021110,0.015292,0.036811,0
0.130580,0.015931,0.025814,0.029778,0.021558,0.037499,2
0.134510,0.012761,0.038571,0.024736,0.021336,0.037106,2
0.148892,0.012397,0.046363,0.021543,0.032553,0.036036,2
0.139648,0.010561,0.014658,0.025473,0.048977,0.039979,2
0.149867,0.013495,0.022980,0.021969,0.057062,0.034361,2
0.124375,0.013957,0.002625,0.021041,0.048222,0.038530,1
0.090674,0.014328,0.005895,0.022428,0.008703,0.039320,1
0.090393,0.014549,0.005471,0.026127,0.007345,0.036901,0
0.111237,0.013322,0.007697,0.022504,0.027847,0.039867,1
0.135212,0.011715,0.015966,0.022005,0.049613,0.035913,2
0.150261,0.017062,0.063429,0.023731,0.011067,0.034972,2
0.138555,0.014844,0.019283,0.026606,0.041055,0.036767,2
0.094315,0.018870,0.009695,0.021161,0.010800,0.033789,1
0.141705,0.015335,0.030698,0.025173,0.033848,0.036651,1
0.157129,0.011233,0.025691,0.025609,0.059130,0.035466,2
0.081648,0.011773,0.002929,0.021439,0.008321,0.037186,1
0.134492,0.014705,0.033996,0.029929,0.024268,0.031594,1
0.148934,0.017871,0.011919,0.026549,0.055581,0.037014,2
0.126352,0.016572,0.034810,0.027375,0.013509,0.034086,1
0.132399,0.012527,0.024361,0.028646,0.031464,0.035401,2
0.090579,0.018339,0.007909,0.028905,0.001298,0.034128,0
0.091777,0.012038,0.013773,0.024726,0.002914,0.038326,1
0.133126,0.013946,0.008583,0.026451,0.047892,0.036254,1
0.164217,0.019839,0.048052,0.027732,0.029209,0.039385,2
0.136160,0.010879,0.010619,0.023448,0.052006,0.039208,2
0.115296,0.018569,0.008010,0.026457,0.027969,0.034291,1
0.141656,0.016709,0.046553,0.026074,0.015244,0.037076,2
0.107678,0.012524,0.024470,0.021844,0.017204,0.031636,1
0.130734,0.013387,0.024013,0.021307,0.037147,0.034880,1
0.160860,0.018094,0.029159,0.026372,0.050762,0.036473,2
0.101297,0.010019,0.008118,0.028035,0.018780,0.036345,1
0.118502,0.016779,0.017984,0.027096,0.026365,0.030278,1
0.144257,0.012418,0.054817,0.028937,0.008527,0.039558,2
0.135085,0.011515,0.027648,0.026543,0.032889,0.036490,1
0.117809,0.014904,0.016943,0.024998,0.027722,0.033242,1
0.131462,0.014622,0.025185,0.025172,0.032955,0.033528,1
0.092186,0.014256,0.008553,0.020392,0.014479,0.034506,0
0.133313,0.013306,0.011257,0.024260,0.045976,0.038514,2
0.125132,0.015690,0.027486,0.028739,0.019759,0.033458,1
