Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START,Assistance_LaneMonitoring_SPAWN->Assistance_LaneMonitoring_START
0.032588,0.032588
0.058593,0.058593
0.072975,0.072975
0.000000,0.000000
0.000000,0.000000
0.124987,0.124987
0.029116,0.029116
0.019389,0.019389
0.008232,0.008232
0.002469,0.002469
0.000000,0.000000
0.011095,0.011095
0.009718,0.009718
0.000000,0.000000
0.028370,0.028370
0.013123,0.013123
0.121260,0.121260
0.040846,0.040846
0.006613,0.006613
0.000000,0.000000
0.043107,0.043107
0.051188,0.051188
0.000000,0.000000
0.005217,0.005217
0.040928,0.040928
0.099351,0.099351
0.022046,0.022046
0.007028,0.007028
0.000000,0.000000
0.009387,0.009387
0.000000,0.000000
0.024759,0.024759
0.000000,0.000000
0.025125,0.025125
0.032037,0.032037
0.000000,0.000000
0.000000,0.000000
0.007502,0.007502
0.003669,0.003669
0.058932,0.058932
0.003759,0.003759
0.019891,0.019891
0.022529,0.022529
0.004046,0.004046
0.028986,0.028986
0.000000,0.000000
0.000000,0.000000
0.014612,0.014612
0.020326,0.020326
0.036692,0.036692
0.026333,0.026333
0.000000,0.000000
0.037081,0.037081
0.019057,0.019057
0.025787,0.025787
0.009745,0.009745
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.014619,0.014619
0.023569,0.023569
0.043643,0.043643
0.000000,0.000000
0.007948,0.007948
0.020978,0.020978
0.006160,0.006160
0.019330,0.019330
0.007152,0.007152
0.006688,0.006688
0.000000,0.000000
0.011146,0.011146
0.036301,0.036301
0.002767,0.002767
0.003005,0.003005
0.000000,0.000000
0.000000,0.000000
0.015140,0.015140
0.122310,0.122310
0.024087,0.024087
0.054581,0.054581
0.000000,0.000000
0.006101,0.006101
0.000000,0.000000
0.023486,0.023486
0.000000,0.000000
0.003421,0.003421
0.000000,0.000000
0.000000,0.000000
0.028866,0.028866
0.003449,0.003449
0.000000,0.000000
0.014658,0.014658
0.032628,0.032628
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.001280,0.001280
0.000000,0.000000
0.000000,0.000000
0.000436,0.000436
0.040243,0.040243
0.016287,0.016287
0.000000,0.000000
0.018086,0.018086
0.058856,0.058856
0.020706,0.020706
0.000000,0.000000
0.031512,0.031512
0.041899,0.041899
0.048094,0.048094
0.000000,0.000000
0.019062,0.019062
0.021228,0.021228
0.043661,0.043661
0.000000,0.000000
0.058247,0.058247
0.056053,0.056053
0.013662,0.013662
0.037154,0.037154
0.000000,0.000000
0.000000,0.000000
