bin,total,Braking_START->Braking_FINISH,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionDetection_BrakingDecision_FINISH->Braking_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.434000,0.007117,0.000169,0.001333,0.000095,0.000000,0.000094,0.000013,0.000452,0.000838,0.000163,0.000000,0.000349,0.000161,0.000867,0.002422,0.000163
0.435000,0.006524,0.000142,0.001074,0.000074,0.000000,0.000074,0.000041,0.000458,0.000927,0.000130,0.000000,0.000412,0.000217,0.000753,0.002075,0.000148
0.436000,0.005931,0.000135,0.000991,0.000070,0.000000,0.000068,0.000041,0.000418,0.000773,0.000139,0.000019,0.000366,0.000166,0.000664,0.001950,0.000132
0.437000,0.007117,0.000161,0.001439,0.000084,0.000000,0.000097,0.000027,0.000496,0.000928,0.000167,0.000016,0.000389,0.000221,0.000787,0.002146,0.000158
0.438000,0.005931,0.000130,0.001090,0.000069,0.000000,0.000066,0.000039,0.000392,0.000505,0.000122,0.000000,0.000329,0.000244,0.000696,0.002110,0.000139
0.439000,0.007117,0.000155,0.001244,0.000078,0.000000,0.000081,0.000041,0.000482,0.000886,0.000153,0.000015,0.000424,0.000171,0.000857,0.002370,0.000160
0.440000,0.004745,0.000107,0.000881,0.000061,0.000000,0.000037,0.000026,0.000312,0.000479,0.000118,0.000009,0.000293,0.000133,0.000576,0.001607,0.000106
0.441000,0.005338,0.000129,0.001099,0.000059,0.000000,0.000047,0.000015,0.000369,0.000735,0.000114,0.000000,0.000285,0.000141,0.000585,0.001633,0.000126
0.442000,0.008304,0.000180,0.001284,0.000093,0.000000,0.000095,0.000053,0.000548,0.001031,0.000212,0.000000,0.000433,0.000349,0.000910,0.002938,0.000179
0.443000,0.010676,0.000262,0.001966,0.000110,0.000000,0.000120,0.000063,0.000682,0.001157,0.000233,0.000015,0.000606,0.000374,0.001211,0.003638,0.000240
0.444000,0.007117,0.000164,0.001502,0.000071,0.000000,0.000081,0.000039,0.000497,0.000854,0.000168,0.000040,0.000398,0.000189,0.000681,0.002273,0.000158
0.445000,0.005931,0.000145,0.001196,0.000060,0.000000,0.000060,0.000013,0.000401,0.000702,0.000156,0.000000,0.000319,0.000166,0.000681,0.001896,0.000135
0.446000,0.007711,0.000166,0.001495,0.000080,0.000000,0.000076,0.000028,0.000524,0.000818,0.000170,0.000000,0.000432,0.000228,0.000915,0.002609,0.000171
0.447000,0.007711,0.000177,0.001306,0.000088,0.000000,0.000083,0.000064,0.000514,0.001173,0.000181,0.000011,0.000400,0.000216,0.000919,0.002410,0.000168
0.448000,0.005931,0.000136,0.001094,0.000071,0.000000,0.000065,0.000025,0.000391,0.000712,0.000143,0.000019,0.000348,0.000265,0.000667,0.001860,0.000136
0.449000,0.008304,0.000191,0.001595,0.000094,0.000000,0.000083,0.000039,0.000526,0.001032,0.000203,0.000009,0.000443,0.000247,0.000895,0.002763,0.000183
0.450000,0.005931,0.000113,0.001057,0.000076,0.000000,0.000048,0.000000,0.000354,0.000851,0.000129,0.000012,0.000354,0.000169,0.000708,0.001929,0.000132
0.451000,0.010676,0.000236,0.002002,0.000128,0.000000,0.000115,0.000051,0.000742,0.001211,0.000229,0.000000,0.000651,0.000334,0.001280,0.003460,0.000238
0.452000,0.007711,0.000176,0.001416,0.000089,0.000000,0.000085,0.000052,0.000479,0.000894,0.000180,0.000000,0.000442,0.000266,0.000898,0.002564,0.000171
0.453000,0.007711,0.000162,0.001369,0.000087,0.000000,0.000102,0.000028,0.000505,0.000982,0.000163,0.000000,0.000427,0.000291,0.000890,0.002538,0.000170
0.454000,0.005931,0.000135,0.001121,0.000080,0.000000,0.000064,0.000024,0.000373,0.000664,0.000125,0.000000,0.000327,0.000225,0.000710,0.001953,0.000131
0.455000,0.004745,0.000101,0.000891,0.000045,0.000000,0.000052,0.000013,0.000325,0.000538,0.000093,0.000016,0.000276,0.000185,0.000555,0.001557,0.000100
0.456000,0.008304,0.000174,0.001439,0.000092,0.000000,0.000094,0.000055,0.000522,0.000954,0.000195,0.000025,0.000495,0.000295,0.000913,0.002867,0.000182
0.457000,0.006524,0.000137,0.001194,0.000064,0.000000,0.000064,0.000013,0.000417,0.000867,0.000143,0.000000,0.000384,0.000203,0.000734,0.002161,0.000144
0.458000,0.011862,0.000260,0.002154,0.000124,0.000000,0.000139,0.000052,0.000801,0.001394,0.000259,0.000020,0.000637,0.000248,0.001401,0.004120,0.000253
0.459000,0.010676,0.000236,0.001920,0.000127,0.000000,0.000119,0.000082,0.000732,0.001323,0.000212,0.000032,0.000591,0.000289,0.001212,0.003565,0.000235
0.460000,0.007711,0.000167,0.001418,0.000086,0.000000,0.000096,0.000036,0.000524,0.001165,0.000175,0.000018,0.000447,0.000151,0.000859,0.002398,0.000170
0.461000,0.004745,0.000100,0.001054,0.000053,0.000000,0.000050,0.000025,0.000324,0.000527,0.000108,0.000027,0.000273,0.000042,0.000561,0.001503,0.000100
0.462000,0.009490,0.000204,0.001738,0.000114,0.000000,0.000103,0.000038,0.000605,0.001209,0.000192,0.000000,0.000508,0.000252,0.001063,0.003256,0.000209
0.463000,0.008897,0.000198,0.001570,0.000111,0.000000,0.000094,0.000026,0.000562,0.001145,0.000177,0.000010,0.000515,0.000257,0.000993,0.003038,0.000198
0.464000,0.005338,0.000116,0.001053,0.000052,0.000000,0.000061,0.000000,0.000317,0.000740,0.000132,0.000015,0.000276,0.000160,0.000618,0.001682,0.000117
0.465000,0.006524,0.000149,0.001218,0.000082,0.000000,0.000069,0.000027,0.000392,0.000968,0.000127,0.000000,0.000360,0.000228,0.000709,0.002052,0.000143
0.466000,0.007117,0.000146,0.001400,0.000073,0.000000,0.000075,0.000047,0.000469,0.000761,0.000155,0.000009,0.000389,0.000249,0.000782,0.002414,0.000148
0.467000,0.005931,0.000129,0.001139,0.000068,0.000000,0.000059,0.000026,0.000395,0.000774,0.000123,0.000037,0.000327,0.000094,0.000642,0.001992,0.000126
0.468000,0.004745,0.000095,0.000785,0.000040,0.000000,0.000049,0.000038,0.000305,0.000750,0.000099,0.000000,0.000266,0.000147,0.000517,0.001555,0.000099
0.469000,0.007711,0.000168,0.001419,0.000087,0.000000,0.000067,0.000011,0.000473,0.001072,0.000161,0.000012,0.000438,0.000166,0.000819,0.002651,0.000168
