start1->finish3,start1->finish1,finish1->start2,start2->finish2,finish2->start3,start3->finish3,start3
3.463965,0.134733,1.694258,0.434823,0.000000,1.200151,28
3.595653,0.134112,1.819725,0.379982,0.000000,1.261834,29
3.713083,0.102402,2.028347,0.364223,0.122314,1.095797,28
3.888753,0.614723,1.546025,0.449400,0.000000,1.278605,28
3.805736,0.609143,1.529959,0.382573,0.000000,1.284061,28
3.781523,0.543891,1.671628,0.266514,0.170881,1.128609,27
3.844044,0.740854,1.630418,0.347843,0.025054,1.099875,27
3.895084,0.605607,1.625723,0.604988,0.000000,1.058766,28
4.004161,0.573604,1.586682,0.689427,0.000000,1.154448,29
4.014206,0.700610,1.445420,0.676517,0.000000,1.191659,30
4.025794,0.685133,1.704609,0.400668,0.000000,1.235384,30
4.119415,0.886620,1.531447,0.310665,0.000000,1.390683,31
4.331905,0.937335,1.466806,0.459455,0.063316,1.404993,32
4.057737,0.716992,1.559117,0.547477,0.139375,1.094776,28
3.744282,0.610301,1.360599,0.767765,0.000000,1.005617,26
4.156680,0.620911,1.396919,0.900877,0.032107,1.205866,28
4.285764,0.600960,1.349848,1.002170,0.237438,1.095348,29
4.006510,0.594181,1.244246,1.082207,0.139670,0.946206,28
3.983974,0.661516,1.268711,1.094273,0.009015,0.950459,27
4.456476,0.671365,1.383205,1.046325,0.000000,1.355581,29
4.484221,0.797243,1.500553,0.790522,0.000000,1.395903,29
4.379563,0.706134,1.645884,0.686792,0.070300,1.270453,29
4.079079,0.562492,1.586806,0.630963,0.218483,1.080335,29
4.339550,0.700788,1.442791,0.936947,0.000000,1.259024,31
4.396471,0.684448,1.506780,0.900601,0.000000,1.304642,32
4.263320,0.492639,1.552880,0.925663,0.000000,1.292138,32
4.356611,0.556529,1.473645,0.895326,0.000000,1.431111,33
4.337061,0.467076,1.477324,0.950459,0.136003,1.306199,34
4.320258,0.690895,1.209849,1.068937,0.000000,1.350577,33
4.323277,0.686852,1.141047,1.168904,0.093022,1.233452,33
4.352110,0.906554,1.008171,1.254560,0.011505,1.171320,31
