Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START,Assistance_BlindSpot_SPAWN->Assistance_BlindSpot_START
0.031853,0.031853
0.000000,0.000000
0.003338,0.003338
0.037189,0.037189
0.000000,0.000000
0.000358,0.000358
0.000000,0.000000
0.017617,0.017617
0.002803,0.002803
0.021422,0.021422
0.001983,0.001983
0.022664,0.022664
0.033185,0.033185
0.000000,0.000000
0.001097,0.001097
0.021044,0.021044
0.026454,0.026454
0.023102,0.023102
0.027684,0.027684
0.030410,0.030410
0.051614,0.051614
0.004057,0.004057
0.012496,0.012496
0.000000,0.000000
0.007305,0.007305
0.000000,0.000000
0.004057,0.004057
0.028995,0.028995
0.000000,0.000000
0.007700,0.007700
0.016158,0.016158
0.000000,0.000000
0.032665,0.032665
0.040084,0.040084
0.000000,0.000000
0.000000,0.000000
0.045477,0.045477
0.004834,0.004834
0.022255,0.022255
0.000000,0.000000
0.003286,0.003286
0.003699,0.003699
0.024880,0.024880
0.005151,0.005151
0.000000,0.000000
0.016808,0.016808
0.010357,0.010357
0.000000,0.000000
0.005119,0.005119
0.049875,0.049875
0.030457,0.030457
0.000000,0.000000
0.001426,0.001426
0.000061,0.000061
0.031565,0.031565
0.000000,0.000000
0.009615,0.009615
0.000000,0.000000
0.000956,0.000956
0.034635,0.034635
0.018434,0.018434
0.025283,0.025283
0.006082,0.006082
0.042732,0.042732
0.037161,0.037161
0.001246,0.001246
0.000732,0.000732
0.000000,0.000000
0.018979,0.018979
0.025608,0.025608
0.029172,0.029172
0.000865,0.000865
0.000000,0.000000
0.000000,0.000000
0.010322,0.010322
0.027204,0.027204
0.006174,0.006174
0.021756,0.021756
0.000000,0.000000
0.030546,0.030546
0.015515,0.015515
0.000000,0.000000
0.027630,0.027630
0.003321,0.003321
0.015636,0.015636
0.022523,0.022523
0.038053,0.038053
0.001603,0.001603
0.013675,0.013675
0.002948,0.002948
0.043095,0.043095
0.008389,0.008389
0.014597,0.014597
0.000000,0.000000
0.022313,0.022313
0.000000,0.000000
0.046609,0.046609
0.023101,0.023101
0.027727,0.027727
0.019281,0.019281
0.037485,0.037485
0.000000,0.000000
0.008979,0.008979
0.015699,0.015699
0.033708,0.033708
0.000000,0.000000
0.006359,0.006359
0.019539,0.019539
0.000000,0.000000
0.000000,0.000000
0.009321,0.009321
0.051763,0.051763
0.014153,0.014153
0.016460,0.016460
0.039145,0.039145
0.044215,0.044215
0.002727,0.002727
0.041451,0.041451
0.018204,0.018204
0.027010,0.027010
0.052022,0.052022
0.022044,0.022044
0.025003,0.025003
0.010689,0.010689
0.045298,0.045298
0.000000,0.000000
0.002673,0.002673
0.007562,0.007562
0.033897,0.033897
0.022554,0.022554
0.015309,0.015309
0.019517,0.019517
0.056876,0.056876
0.046492,0.046492
0.035362,0.035362
0.034342,0.034342
