bin,total,Camera1_FINISH->Perception_CameraPerception_START,Camera1_START->Camera1_FINISH,CollisionAlert_START->CollisionAlert_FINISH,CollisionDetection_BrakingDecision_FINISH->CollisionAlert_START,CollisionDetection_BrakingDecision_START->CollisionDetection_BrakingDecision_FINISH,CollisionDetection_TimeToCollision_FINISH->CollisionDetection_BrakingDecision_START,CollisionDetection_TimeToCollision_START->CollisionDetection_TimeToCollision_FINISH,Perception_CameraPerception_FINISH->Perception_Fusion_START,Perception_CameraPerception_START->Perception_CameraPerception_FINISH,Perception_Fusion_FINISH->SemanticExtraction_ObjectDetection_START,Perception_Fusion_START->Perception_Fusion_FINISH,SemanticExtraction_ObjectDetection_FINISH->SemanticExtraction_Prediction_START,SemanticExtraction_ObjectDetection_START->SemanticExtraction_ObjectDetection_FINISH,SemanticExtraction_Prediction_FINISH->CollisionDetection_TimeToCollision_START,SemanticExtraction_Prediction_START->SemanticExtraction_Prediction_FINISH
0.361000,0.002618,0.000612,0.000033,0.000014,0.000000,0.000033,0.000000,0.000203,0.000402,0.000058,0.000000,0.000188,0.000000,0.000361,0.000638,0.000074
0.362000,0.002618,0.000616,0.000045,0.000018,0.000000,0.000040,0.000018,0.000224,0.000538,0.000071,0.000013,0.000200,0.000000,0.000425,0.000337,0.000072
0.363000,0.005236,0.001404,0.000069,0.000029,0.000000,0.000073,0.000018,0.000410,0.000891,0.000154,0.000000,0.000365,0.000000,0.000711,0.000961,0.000150
0.364000,0.001963,0.000466,0.000021,0.000007,0.000000,0.000022,0.000000,0.000190,0.000393,0.000065,0.000000,0.000142,0.000000,0.000322,0.000283,0.000054
0.365000,0.002618,0.000628,0.000035,0.000017,0.000000,0.000038,0.000000,0.000232,0.000528,0.000074,0.000000,0.000163,0.000000,0.000404,0.000428,0.000071
0.366000,0.003927,0.000849,0.000055,0.000024,0.000000,0.000064,0.000052,0.000321,0.000761,0.000097,0.000000,0.000275,0.000000,0.000517,0.000800,0.000110
0.367000,0.002618,0.000603,0.000029,0.000013,0.000000,0.000040,0.000040,0.000198,0.000509,0.000069,0.000000,0.000160,0.000000,0.000342,0.000544,0.000070
0.368000,0.000654,0.000172,0.000012,0.000004,0.000000,0.000010,0.000000,0.000063,0.000165,0.000021,0.000000,0.000059,0.000000,0.000083,0.000047,0.000018
0.369000,0.001309,0.000323,0.000022,0.000005,0.000000,0.000017,0.000035,0.000087,0.000215,0.000030,0.000000,0.000098,0.000000,0.000182,0.000258,0.000036
0.370000,0.003927,0.000943,0.000054,0.000019,0.000000,0.000058,0.000036,0.000291,0.000546,0.000112,0.000000,0.000287,0.000000,0.000561,0.000919,0.000101
0.371000,0.003272,0.000889,0.000043,0.000021,0.000000,0.000031,0.000000,0.000273,0.000458,0.000081,0.000000,0.000212,0.000000,0.000445,0.000726,0.000092
0.372000,0.001309,0.000262,0.000012,0.000007,0.000000,0.000024,0.000000,0.000119,0.000235,0.000034,0.000000,0.000084,0.000000,0.000196,0.000297,0.000039
0.373000,0.004581,0.001084,0.000058,0.000025,0.000000,0.000041,0.000000,0.000376,0.000684,0.000114,0.000022,0.000308,0.000030,0.000606,0.001108,0.000125
0.374000,0.004581,0.001055,0.000071,0.000032,0.000000,0.000064,0.000039,0.000377,0.000855,0.000131,0.000000,0.000317,0.000000,0.000601,0.000917,0.000122
0.375000,0.003272,0.000699,0.000042,0.000010,0.000000,0.000053,0.000037,0.000250,0.000680,0.000099,0.000000,0.000225,0.000000,0.000493,0.000598,0.000088
0.376000,0.003927,0.000783,0.000052,0.000013,0.000000,0.000051,0.000036,0.000311,0.000711,0.000120,0.000000,0.000259,0.000026,0.000540,0.000914,0.000110
0.377000,0.003927,0.000778,0.000053,0.000019,0.000000,0.000042,0.000000,0.000307,0.000503,0.000125,0.000000,0.000271,0.000014,0.000504,0.001209,0.000103
0.378000,0.003272,0.000669,0.000036,0.000018,0.000000,0.000047,0.000021,0.000248,0.000443,0.000092,0.000000,0.000223,0.000009,0.000395,0.000985,0.000088
0.379000,0.003927,0.000871,0.000052,0.000022,0.000000,0.000048,0.000031,0.000335,0.000639,0.000099,0.000000,0.000234,0.000000,0.000512,0.000980,0.000103
0.380000,0.001963,0.000396,0.000026,0.000009,0.000000,0.000022,0.000000,0.000155,0.000162,0.000048,0.000000,0.000164,0.000001,0.000288,0.000641,0.000051
0.381000,0.003272,0.000813,0.000047,0.000017,0.000000,0.000036,0.000000,0.000246,0.000481,0.000074,0.000000,0.000221,0.000009,0.000452,0.000790,0.000085
