bin,total,start3=0,start3=1,start3=2,start3=3,start3=4,start3=5,start3=6
0.000000,0.231251,0.036314,0.156158,0.034386,0.004014,0.000379,0.000000,0.000000
0.001000,0.016561,0.002876,0.009450,0.003382,0.000759,0.000095,0.000000,0.000000
0.002000,0.013969,0.002054,0.009071,0.002339,0.000442,0.000063,0.000000,0.000000
0.003000,0.014475,0.002023,0.008375,0.003477,0.000537,0.000063,0.000000,0.000000
0.004000,0.012168,0.001896,0.007395,0.002434,0.000379,0.000063,0.000000,0.000000
0.005000,0.012199,0.001738,0.007522,0.002402,0.000474,0.000063,0.000000,0.000000
0.006000,0.012073,0.001612,0.007301,0.002528,0.000569,0.000032,0.000032,0.000000
0.007000,0.013337,0.001580,0.007964,0.003160,0.000569,0.000032,0.000032,0.000000
0.008000,0.013843,0.001643,0.007364,0.003824,0.000917,0.000095,0.000000,0.000000
0.009000,0.012010,0.001075,0.007237,0.002876,0.000695,0.000095,0.000032,0.000000
0.010000,0.015233,0.001169,0.008628,0.004456,0.000885,0.000095,0.000000,0.000000
0.011000,0.016150,0.001833,0.008912,0.004203,0.001075,0.000126,0.000000,0.000000
0.012000,0.015802,0.001549,0.008691,0.004583,0.000917,0.000063,0.000000,0.000000
0.013000,0.017130,0.001233,0.008881,0.005436,0.001391,0.000190,0.000000,0.000000
0.014000,0.014759,0.000917,0.007490,0.005025,0.001169,0.000126,0.000032,0.000000
0.015000,0.016972,0.001138,0.008660,0.005942,0.001075,0.000095,0.000063,0.000000
0.016000,0.015265,0.001011,0.007617,0.005499,0.001075,0.000063,0.000000,0.000000
0.017000,0.016624,0.000695,0.007933,0.006479,0.001233,0.000253,0.000032,0.000000
0.018000,0.016750,0.000917,0.007016,0.007174,0.001454,0.000158,0.000032,0.000000
0.019000,0.017762,0.000632,0.007553,0.007301,0.001865,0.000379,0.000032,0.000000
0.020000,0.016719,0.000379,0.006574,0.007933,0.001517,0.000253,0.000063,0.000000
0.021000,0.013906,0.000221,0.006479,0.005562,0.001391,0.000221,0.000032,0.000000
0.022000,0.012989,0.000474,0.005246,0.005878,0.001169,0.000221,0.000000,0.000000
0.023000,0.011188,0.000284,0.004456,0.005468,0.000822,0.000158,0.000000,0.000000
0.024000,0.011251,0.000190,0.004519,0.005562,0.000917,0.000063,0.000000,0.000000
0.025000,0.011852,0.000253,0.004140,0.006036,0.001138,0.000284,0.000000,0.000000
0.026000,0.010588,0.000095,0.003477,0.006068,0.000759,0.000190,0.000000,0.000000
0.027000,0.012515,0.000126,0.004646,0.006226,0.001391,0.000126,0.000000,0.000000
0.028000,0.014380,0.000158,0.004583,0.007775,0.001707,0.000126,0.000032,0.000000
0.029000,0.014886,0.000221,0.004930,0.008122,0.001327,0.000253,0.000032,0.000000
0.030000,0.017857,0.000158,0.004867,0.010208,0.002370,0.000221,0.000032,0.000000
0.031000,0.015170,0.000063,0.005278,0.008502,0.001201,0.000126,0.000000,0.000000
0.032000,0.014190,0.000221,0.004677,0.008280,0.000948,0.000063,0.000000,0.000000
0.033000,0.014728,0.000063,0.004899,0.008628,0.000885,0.000253,0.000000,0.000000
0.034000,0.015139,0.000253,0.005468,0.008028,0.001138,0.000221,0.000032,0.000000
0.035000,0.013653,0.000063,0.004835,0.007237,0.001264,0.000158,0.000095,0.000000
0.036000,0.013306,0.000316,0.004456,0.007427,0.000853,0.000253,0.000000,0.000000
0.037000,0.013969,0.000221,0.004804,0.007553,0.001106,0.000253,0.000032,0.000000
0.038000,0.011820,0.000126,0.004172,0.006447,0.000980,0.000095,0.000000,0.000000
0.039000,0.011220,0.000095,0.003129,0.006732,0.001106,0.000158,0.000000,0.000000
0.040000,0.007364,0.000063,0.002307,0.004045,0.000822,0.000063,0.000063,0.000000
0.041000,0.005468,0.000126,0.001707,0.002813,0.000632,0.000190,0.000000,0.000000
0.042000,0.005341,0.000158,0.001643,0.003160,0.000348,0.000000,0.000032,0.000000
0.043000,0.004519,0.000063,0.001580,0.002054,0.000664,0.000158,0.000000,0.000000
0.044000,0.003982,0.000000,0.001327,0.002149,0.000379,0.000063,0.000032,0.000032
0.045000,0.004583,0.000032,0.001643,0.002307,0.000442,0.000158,0.000000,0.000000
0.046000,0.005341,0.000032,0.001422,0.003097,0.000695,0.000063,0.000032,0.000000
0.047000,0.005878,0.000095,0.001675,0.003445,0.000569,0.000095,0.000000,0.000000
0.048000,0.005278,0.000126,0.001296,0.003160,0.000600,0.000063,0.000032,0.000000
0.049000,0.005057,0.000126,0.001391,0.003002,0.000348,0.000158,0.000032,0.000000
0.050000,0.005562,0.000063,0.001580,0.003129,0.000695,0.000095,0.000000,0.000000
0.051000,0.005341,0.000032,0.001296,0.003413,0.000537,0.000032,0.000032,0.000000
0.052000,0.004772,0.000032,0.001296,0.002908,0.000474,0.000063,0.000000,0.000000
0.053000,0.004614,0.000032,0.001169,0.002718,0.000569,0.000063,0.000063,0.000000
0.054000,0.003413,0.000063,0.000411,0.002465,0.000474,0.000000,0.000000,0.000000
0.055000,0.003951,0.000063,0.000885,0.002307,0.000569,0.000095,0.000000,0.000032
0.056000,0.002592,0.000000,0.000664,0.001391,0.000506,0.000032,0.000000,0.000000
0.057000,0.003224,0.000000,0.000632,0.001928,0.000506,0.000126,0.000032,0.000000
0.058000,0.002402,0.000000,0.000537,0.001422,0.000348,0.000095,0.000000,0.000000
0.059000,0.003066,0.000032,0.000379,0.002023,0.000569,0.000063,0.000000,0.000000
0.060000,0.003034,0.000000,0.000664,0.001643,0.000569,0.000158,0.000000,0.000000
0.061000,0.003097,0.000063,0.000537,0.001643,0.000727,0.000126,0.000000,0.000000
0.062000,0.003129,0.000000,0.000411,0.001928,0.000695,0.000095,0.000000,0.000000
0.063000,0.003508,0.000000,0.000379,0.001833,0.001106,0.000158,0.000032,0.000000
0.064000,0.003287,0.000063,0.000442,0.001580,0.001043,0.000158,0.000000,0.000000
0.065000,0.003129,0.000000,0.000442,0.001612,0.001011,0.000063,0.000000,0.000000
0.066000,0.003160,0.000032,0.000411,0.001296,0.001201,0.000190,0.000032,0.000000
0.067000,0.003318,0.000000,0.000221,0.001549,0.001422,0.000126,0.000000,0.000000
0.068000,0.002813,0.000000,0.000253,0.001264,0.001075,0.000221,0.000000,0.000000
0.069000,0.003129,0.000032,0.000537,0.001296,0.001011,0.000221,0.000032,0.000000
0.070000,0.002908,0.000000,0.000253,0.001233,0.001106,0.000221,0.000063,0.000032
0.071000,0.002844,0.000000,0.000442,0.001454,0.000853,0.000095,0.000000,0.000000
0.072000,0.002528,0.000000,0.000348,0.000885,0.001138,0.000126,0.000032,0.000000
